Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
0982,12/12/2025,12/12/2025,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-306.11,
0982,12/05/2025,12/07/2025,TIKTOK ADS,Professional Services,Sale,-52.00,
0982,12/06/2025,12/07/2025,TIKTOK ADS,Professional Services,Sale,-52.00,
0982,12/06/2025,12/07/2025,TIKTOK ADS,Professional Services,Sale,-52.00,
0982,12/05/2025,12/07/2025,TIKTOK ADS,Professional Services,Sale,-55.00,
0982,12/05/2025,12/05/2025,TIKTOK ADS,Professional Services,Sale,-54.26,
0982,12/03/2025,12/04/2025,TIKTOK ADS,Professional Services,Sale,-31.38,
0982,12/03/2025,12/04/2025,TIKTOK ADS,Professional Services,Sale,-55.00,
0982,12/02/2025,12/03/2025,TIKTOK ADS  *TIKTOK,Professional Services,Sale,-48.00,
0982,12/02/2025,12/03/2025,TIKTOK ADS,Professional Services,Sale,-51.00,
0982,12/02/2025,12/03/2025,TIKTOK ADS,Professional Services,Sale,-51.00,
0982,12/02/2025,12/03/2025,TIKTOK ADS,Professional Services,Sale,-51.00,
0982,12/02/2025,12/03/2025,TIKTOK ADS,Professional Services,Sale,-48.00,
0982,12/01/2025,12/03/2025,TIKTOK ADS,Professional Services,Sale,-48.00,
0982,12/01/2025,12/03/2025,TIKTOK ADS,Professional Services,Sale,-48.00,
0982,12/01/2025,12/03/2025,TIKTOK ADS,Professional Services,Sale,-48.00,
0982,12/01/2025,12/03/2025,TIKTOK ADS,Professional Services,Sale,-48.00,
0982,12/02/2025,12/03/2025,TIKTOK ADS,Professional Services,Sale,-48.00,
0982,12/02/2025,12/03/2025,TIKTOK ADS,Professional Services,Sale,-48.00,
0982,12/01/2025,12/03/2025,TIKTOK ADS,Professional Services,Sale,-48.00,
0982,12/01/2025,12/01/2025,TIKTOK ADS,Professional Services,Sale,-55.00,
0982,11/29/2025,11/30/2025,Payment Thank You - Web,,Payment,1000.00,
0982,11/26/2025,11/27/2025,TIKTOK ADS,Professional Services,Sale,-7.30,
0982,11/24/2025,11/25/2025,TIKTOK ADS,Professional Services,Sale,-1.59,
0982,11/21/2025,11/23/2025,TIKTOK ADS,Professional Services,Sale,-35.00,
0982,11/21/2025,11/23/2025,TIKTOK ADS  *TIKTOK,Professional Services,Sale,-35.00,
0982,11/21/2025,11/23/2025,TIKTOK ADS,Professional Services,Sale,-35.00,
0982,11/21/2025,11/23/2025,TIKTOK ADS,Professional Services,Sale,-35.00,
0982,11/21/2025,11/23/2025,TIKTOK ADS,Professional Services,Sale,-35.00,
0982,11/21/2025,11/23/2025,TIKTOK ADS,Professional Services,Sale,-35.00,
0982,11/21/2025,11/23/2025,TIKTOK ADS,Professional Services,Sale,-35.00,
0982,11/21/2025,11/23/2025,TIKTOK ADS,Professional Services,Sale,-35.00,
0982,11/20/2025,11/21/2025,TIKTOK ADS,Professional Services,Sale,-34.00,
0982,11/21/2025,11/21/2025,TIKTOK ADS,Professional Services,Sale,-35.00,
0982,11/20/2025,11/21/2025,TIKTOK ADS,Professional Services,Sale,-34.00,
0982,11/20/2025,11/21/2025,TIKTOK ADS,Professional Services,Sale,-34.00,
