Date,Description,Amount
12/12/2025,PURCHASE INTEREST CHARGE,-306.11
12/05/2025,TIKTOK ADS,-52.00
12/06/2025,TIKTOK ADS,-52.00
12/06/2025,TIKTOK ADS,-52.00
12/05/2025,TIKTOK ADS,-55.00
12/05/2025,TIKTOK ADS,-54.26
12/03/2025,TIKTOK ADS,-31.38
12/03/2025,TIKTOK ADS,-55.00
12/02/2025,TIKTOK ADS,-48.00
12/02/2025,TIKTOK ADS,-51.00
12/02/2025,TIKTOK ADS,-51.00
12/02/2025,TIKTOK ADS,-51.00
12/02/2025,TIKTOK ADS,-48.00
12/01/2025,TIKTOK ADS,-48.00
12/01/2025,TIKTOK ADS,-48.00
12/01/2025,TIKTOK ADS,-48.00
12/01/2025,TIKTOK ADS,-48.00
12/02/2025,TIKTOK ADS,-48.00
12/02/2025,TIKTOK ADS,-48.00
12/01/2025,TIKTOK ADS,-48.00
12/01/2025,TIKTOK ADS,-55.00
11/29/2025,Payment Thank You - Web,1000.00
11/26/2025,TIKTOK ADS,-7.30
11/24/2025,TIKTOK ADS,-1.59
11/21/2025,TIKTOK ADS,-35.00
11/21/2025,TIKTOK ADS,-35.00
11/21/2025,TIKTOK ADS,-35.00
11/21/2025,TIKTOK ADS,-35.00
11/21/2025,TIKTOK ADS,-35.00
11/21/2025,TIKTOK ADS,-35.00
11/21/2025,TIKTOK ADS,-35.00
11/21/2025,TIKTOK ADS,-35.00
11/20/2025,TIKTOK ADS,-34.00
11/21/2025,TIKTOK ADS,-35.00
11/20/2025,TIKTOK ADS,-34.00
11/20/2025,TIKTOK ADS,-34.00
11/21/2025,TIKTOK ADS,-35.00
11/20/2025,TIKTOK ADS,-34.00
11/19/2025,TIKTOK ADS,-33.00
11/19/2025,TIKTOK ADS,-32.00
11/19/2025,TIKTOK ADS,-27.00
11/19/2025,TIKTOK ADS,-28.00
11/19/2025,TIKTOK ADS,-29.00
11/19/2025,TIKTOK ADS,-32.00
11/19/2025,TIKTOK ADS,-32.00
11/18/2025,TIKTOK ADS,-26.00
11/18/2025,TIKTOK ADS,-27.00
11/19/2025,TIKTOK ADS,-27.00
11/19/2025,TIKTOK ADS,-27.00
11/19/2025,TIKTOK ADS,-27.00
11/17/2025,TIKTOK ADS,-20.00
11/17/2025,TIKTOK ADS,-26.00
11/18/2025,TIKTOK ADS,-28.00
11/18/2025,TIKTOK ADS,-31.00
11/17/2025,TIKTOK ADS,-24.00
11/17/2025,TIKTOK ADS,-26.00
11/17/2025,TIKTOK ADS,-26.00
11/16/2025,TIKTOK ADS,-20.00
11/16/2025,TIKTOK ADS,-21.00
11/16/2025,TIKTOK ADS,-19.00
11/17/2025,TIKTOK ADS,-28.00
11/16/2025,TIKTOK ADS,-21.00
11/16/2025,TIKTOK ADS,-25.00
11/16/2025,TIKTOK ADS,-18.00
11/16/2025,TIKTOK ADS,-20.00
11/16/2025,TIKTOK ADS,-22.00
11/17/2025,TIKTOK ADS,-27.00
11/15/2025,TIKTOK ADS,-9.00
11/16/2025,TIKTOK ADS,-19.00
11/14/2025,TIKTOK ADS,-5.00
11/16/2025,TIKTOK ADS,-21.00
11/16/2025,TIKTOK ADS,-17.00
11/16/2025,TIKTOK ADS,-21.00
11/15/2025,TIKTOK ADS,-11.00
11/14/2025,TIKTOK ADS,-6.00
11/15/2025,TIKTOK ADS,-11.00
11/14/2025,TIKTOK ADS,-7.00
11/15/2025,TIKTOK ADS,-9.00
11/15/2025,TIKTOK ADS,-18.00
11/15/2025,TIKTOK ADS,-11.00
11/14/2025,TIKTOK ADS,-7.00
11/15/2025,TIKTOK ADS,-12.00
11/14/2025,TIKTOK ADS,-9.00
11/15/2025,TIKTOK ADS,-12.00
11/14/2025,TIKTOK ADS,-7.00
11/15/2025,TIKTOK ADS,-11.00
11/15/2025,TIKTOK ADS,-9.00
11/14/2025,TIKTOK ADS,-8.00
11/14/2025,TIKTOK ADS,-6.00
11/15/2025,TIKTOK ADS,-12.00
11/15/2025,TIKTOK ADS,-9.00
11/14/2025,TIKTOK ADS,-6.00
11/15/2025,TIKTOK ADS,-10.00
11/14/2025,TIKTOK ADS,-5.00
11/13/2025,TIKTOK ADS,-5.00
11/14/2025,TIKTOK ADS,-5.00
11/14/2025,TIKTOK ADS,-5.00
11/14/2025,TIKTOK ADS,-5.00
11/14/2025,TIKTOK ADS,-5.00
11/13/2025,TIKTOK ADS,-5.00
11/12/2025,PURCHASE INTEREST CHARGE,-287.75
11/03/2025,TIKTOK ADS,-13.00
11/03/2025,TIKTOK ADS,-13.00
11/03/2025,TIKTOK ADS,-14.00
11/02/2025,TIKTOK ADS,-13.00
11/02/2025,TIKTOK ADS,-14.00
11/01/2025,TIKTOK ADS,-29.29
11/01/2025,TIKTOK ADS,-472.74
11/02/2025,TIKTOK ADS,-15.00
11/02/2025,TIKTOK ADS,-14.00
11/02/2025,TIKTOK ADS,-15.00
10/16/2025,Payment Thank You - Web,2500.00
10/12/2025,PURCHASE INTEREST CHARGE,-311.34
10/06/2025,LATE FEE,-40.00
