Date,Description,Amount
2025-01-02,ACH deposit SHOPIFY TRANSFER 010225 GABRIELLA SCARINGE CHERRI,232.93
2025-01-02,ACH deposit shopify TRANSFER 010225 GABRIELLA SCARINGE ST-R7Y4Z4G2M6X8,195.01
2025-01-02,ACH deposit SHOPIFY TRANSFER 010225 GABRIELLA SCARINGE CHERRI,173.45
2025-01-02,ACH deposit SHOPPAYINST AFRM PAYMENTS 010225 Cherri JJUBIE7CTI02NI6,111.21
2025-01-02,"ACH deposit TikTok Shop 2412315202 010225 Shop Cherri LLC USLCEWELSX,",75.80
2025-01-02,ACH deposit TikTok Inc PAYMENT 010225 Shop Cherri LLC 000000XXXXX2216,52.92
2025-01-02,Mobile Debit Purchase 010225 SHIPBOB COM      CHICAGO   IL,-2.56
2025-01-02,Debit Card Purchase 010225 ORDER PROTECTION   LEHI    UT . information. the error or problem appeared. an error or why you need more information. the time it takes us to complete our investigation.,-4.93
2025-01-02,ACH PAYMENT TO ....4139 UTIDMMO325IIYTAH0GM INV MDCH1007,-2272.83
2025-01-02,ACH Withdrawal CAPITAL ONE ONLINE PMT 010225 GABRIELLA SCARINGE 42KHL1N2E028NH6,-1000.00
2025-01-02,ACH Withdrawal PAYPAL INST XFER 010225 CHERRI METAPLATFOR,-900.00
2025-01-02,ACH Withdrawal PAYPAL INST XFER 010225 CHERRI  TIKTOK,-128.26
2025-01-02,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 010225 Shop Cherri LLC 34032609,-98.46
2025-01-02,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 010225 Shop Cherri LLC 34079508,-93.90
2025-01-02,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 010225 Shop Cherri LLC 34057013,-88.02
2025-01-03,INSTANT TRANSFER RECEIVED FROM ....6721 UTIDMMP1CMNEBPA2IZW,800.00
2025-01-03,ACH deposit shopify TRANSFER 010325 GABRIELLA SCARINGE ST-S6B8B5E3B6L3,610.57
2025-01-03,ACH deposit SHOPIFY TRANSFER 010325 GABRIELLA SCARINGE CHERRI,194.59
2025-01-03,ACH deposit TikTok Inc PAYMENT 010325 Shop Cherri LLC 000000XXXXX9056,7.47
2025-01-03,Recur Mobile Debit Purchase 010325 PY MANHATTAN MINI 198 NEW YORK NY,-505.99
2025-01-03,Debit Card Purchase 010325 SERVICINGSOLUTIONSCARD 8779300422 TX,-724.00
2025-01-03,ACH Withdrawal WOVEN TECHNOLOGI SALE 010325 GABRIELLA SCARINGE,-3153.98
2025-01-03,ACH Withdrawal ITB FULFILLMENT SALE 010325 GABRIELLA SCARINGE,-2234.43
2025-01-03,ACH Withdrawal CHASE CREDIT CRD EPAY 010325 GABRIELLA MARIE SCARIN 8072044588,-517.00
2025-01-03,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 010325 Shop Cherri LLC 34114596,-102.60
2025-01-03,ACH Withdrawal SHOPIFY CREDIT SHOPIFY 010325 Shop Cherri LLC 34107757,-60.35
2025-01-06,ACH deposit shopify TRANSFER 010625 GABRIELLA SCARINGE ST-D2A6F0R7T3S2,343.71
2025-01-06,ACH deposit AFTERPAY 1217 EDI PAYMNT 010625 Gabriella Scaringe aPROgROaUy4SLBn,77.34
2025-01-06,ACH deposit TikTok Inc PAYMENT 010625 Shop Cherri LLC 000000XXXXX2308,16.90
2025-01-06,Debit Card Purchase 010625 ORDER PROTECTION   LEHI   UT,-3.55
2025-01-06,Debit Card Purchase 010625 ORDER PROTECTION   LEHI   UT,-6.80
2025-01-06,ACH Withdrawal PAYPAL INST XFER 010625 CHERRI METAPLATFOR,-1000.00
