Date,Description,Amount
2025-09-29,ACH deposit SHOPIFY TRANSFER 092925 GABRIELLA SCARINGE CHERRI,105.50
2025-09-29,ACH deposit TikTok Inc PAYMENT 092925 Shop Cherri LLC 000000XXXXX2899,49.84
2025-09-29,Mobile Debit Purchase 092925 AMAZON MARK 416T55TK3 SEATTLE WA,-27.21
2025-09-29,Mobile Debit Purchase 092925 AMAZON MARK NJ8KX80X1 SEATTLE WA,-54.42
2025-09-29,Recur Mobile Debit Purchase 092925 RESOURCE FASHION  NEW YORK NY,-349.00
2025-09-29,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 092925 Shop Cherri LLC 43229471,-166.32
2025-09-29,ACH Withdrawal SHOPIFY CREDIT SHOPIFY 092925 Shop Cherri LLC 43232580,-97.84
2025-09-29,ACH Withdrawal ORDERPROTECTION. ORDERPROTE 092925 GABRIELLA SCARINGE M121256198589,-12.74
2025-09-29,ACH Withdrawal PAYPAL INST XFER 092925 GABRIELLA SCARINGE UBER,-9.99
2025-09-30,ACH deposit shopify TRANSFER 093025 GABRIELLA SCARINGE ST-D8G5W7F6X9I3,774.68
2025-09-30,ACH deposit SHOPIFY TRANSFER 093025 GABRIELLA SCARINGE CHERRI,54.13
2025-09-30,ACH deposit TikTok Inc PAYMENT 093025 Shop Cherri LLC 000000XXXXX0061,25.92
2025-09-30,ACH deposit TikTok Inc PAYMENT 093025 Shop Cherri LLC 000000XXXXX5602,8.60
2025-09-30,ACH deposit TikTok Inc PAYMENT 093025 Shop Cherri LLC 000000XXXXX5403,7.20
2025-09-30,ACH Withdrawal UPSBILLCTR 0000F5W411,-147.75
2025-09-30,ACH Withdrawal SHOPIFY CAPITAL SHOPIFY 093025 Shop Cherri LLC 43265059,-82.78
2025-09-30,ACH Withdrawal SHOPIFY CREDIT SHOPIFY 093025 Shop Cherri LLC 43268069,-48.70
2025-09-30,ACH Withdrawal PAYPAL INST XFER 093025 GABRIELLA SCARINGE UPS US CHB,-21.91
2025-09-30,ACH Withdrawal ORDERPROTECTION. ORDERPROTE 093025 GABRIELLA SCARINGE M121258109381,-16.61
2025-09-30,ACH Withdrawal ORDERPROTECTION. ORDERPROTE 093025 GABRIELLA SCARINGE M121259999552,-11.77
2025-09-30,ACH Withdrawal ORDERPROTECTION. ORDERPROTE 093025 GABRIELLA SCARINGE M121261135824,-4.11
2025-09-30,Cash deposit limit exceeded,-10.00
