Date,Description,Amount
2023-12-28,PAST DUE FEE,-39.00
2024-01-08,CAPITAL ONE ONLINE PYMTAuthDate 08-Jan,4491.03
2024-02-13,IN *STELLAR FASHION CONSU310-9048395NY,-2575.00
2024-02-22,IN *STELLAR FASHION CONSU800-262-3246CA,-3035.92
2024-02-22,IN *STELLAR FASHION CONSU310-9048395NY,-226.60
2024-02-28,PAST DUE FEE,-39.00
2024-03-04,CAPITAL ONE MOBILE PYMTAuthDate 04-Mar,1000.00
2024-03-14,IN *STELLAR FASHION CONSU310-9048395NY,-283.25
2024-03-14,IN *STELLAR FASHION CONSU310-9048395NY,-147.45
2024-04-01,Payment received. Thank you!,5000.00
2024-04-02,CREDIT-CASH BACK REWARD,147.38
2024-04-02,CAPITAL ONE MOBILE PYMTAuthDate 02-Apr,422.39
2024-04-03,LA DYE PRINT INC310-327-3200CA,-5935.10
2024-04-05,VELOCITY GROUP INTL187-77503390GA,-72.97
2024-05-16,CREDIT-CASH BACK REWARD,90.12
2024-05-16,Payment received. Thank you!,1500.00
2024-05-21,IN *STELLAR FASHION CONSU310-9048395NY,-324.45
2024-06-23,IN *STELLAR FASHION CONSU310-9048395NY,-226.60
2024-06-23,IN *STELLAR FASHION CONSU310-9048395NY,-154.50
2024-06-25,VELOCITY GROUP INTL187-77503390GA,-69.09
2024-06-28,PAST DUE FEE,-39.00
2024-07-08,CAPITAL ONE MOBILE PYMTAuthDate 08-Jul,349.00
2024-07-18,VELOCITY GROUP INTL187-77503390GA,-120.56
2024-07-18,PAYPAL *GODADDY.COM402-935-7733AZ,-177.90
2024-08-24,CAPITAL ONE MOBILE PYMTAuthDate 23-Aug,500.00
2024-08-27,SHOPHARDWAREHTTPSCHECKOUTDE,-298.33
2024-09-20,VELOCITY GROUP INTL187-77503390GA,-103.97
2024-09-28,PAST DUE FEE,-39.00
2024-10-02,CAPITAL ONE ONLINE PYMTAuthDate 02-Oct,1000.00
2024-10-07,IN *INTEGRATED FINANCIAL212-5745982NJ,-200.00
2024-10-11,Alibaba.comSan MateoCA,-891.90
2024-10-18,PAYPAL *ELASTICBYTHSAN JOSEPA,-63.43
2024-10-23,SEXUAL WELLNESS AWARDSWWW.THESXWA.CFL,-199.00
2024-10-28,PAST DUE FEE,-39.00
2024-11-04,CAPITAL ONE MOBILE PYMTAuthDate 04-Nov,383.00
2024-11-06,AMAZON MKTPL*U22KC92V3Amzn.com/billWA,-9.68
2024-11-27,CAPITAL ONE MOBILE PYMTAuthDate 26-Nov,1000.00
2024-11-27,RESOURCE FASHIONRESOURCEFASHINY,-349.00
2024-11-28,PAYPAL *ELASTICBYTHSAN JOSEPA,-74.37
