Date,Description,Amount
2024-12-19,VELOCITY GROUP INTL187-77503390GA,-99.01
2024-12-27,RESOURCE FASHIONRESOURCEFASHINY,-349.00
2024-12-28,PAST DUE FEE,-39.00
2025-01-02,CAPITAL ONE ONLINE PYMTAuthDate 02-Jan,1000.00
2025-02-27,CAPITAL ONE MOBILE PYMTAuthDate 27-Feb,1000.00
2025-02-27,RESOURCE FASHIONRESOURCEFASHINY,-349.00
2025-03-01,CAPITAL ONE MOBILE PYMTAuthDate 01-Mar,500.00
2025-03-17,Payment received. Thank you!,3400.00
2025-03-27,RESOURCE FASHIONRESOURCEFASHINY,-349.00
2025-04-07,RESOURCE FASHIONRESOURCEFASHINY,-500.00
2025-04-07,RESOURCE FASHIONRESOURCEFASHINY,-100.00
2025-04-07,IN *INTEGRATED FINANCIAL212-5745982NJ,-200.00
2025-04-27,RESOURCE FASHIONRESOURCEFASHINY,-349.00
2025-04-28,Payment received. Thank you!,1200.00
2025-04-29,RESOURCE FASHIONRESOURCEFASHINY,-74.92
2025-04-30,RESOURCE FASHIONRESOURCEFASHINY,-70.38
2025-05-06,PAYPAL *SPANX INC888-806-7311GA,-174.00
2025-05-09,RESOURCE FASHIONRESOURCEFASHINY,-500.00
2025-05-11,RESOURCE FASHIONRESOURCEFASHINY,-100.00
2025-05-11,RESOURCE FASHIONRESOURCEFASHINY,-600.00
2025-05-24,PAYPAL *ECOENCLOSE888-445-6575CO,-31.46
2025-05-27,RESOURCE FASHIONRESOURCEFASHINY,-349.00
2025-05-28,PAST DUE FEE,-39.00
2025-06-03,CAPITAL ONE ONLINE PYMTAuthDate 03-Jun,100.00
2025-06-04,RESOURCE FASHIONRESOURCEFASHINY,-138.56
2025-06-10,RESOURCE FASHIONRESOURCEFASHINY,-100.00
2025-06-10,RESOURCE FASHIONRESOURCEFASHINY,-600.00
2025-06-11,CREDIT-CASH BACK REWARD,100.32
2025-06-14,Mailchimp678-9990141GA,-370.18
2025-06-28,PAST DUE FEE,-39.00
2025-06-30,CAPITAL ONE ONLINE PYMT,1000.00
2025-06-30,RESOURCE FASHIONRESOURCEFASHINY,-349.00
2025-07-10,RESOURCE FASHIONRESOURCEFASHINY,-350.00
2025-07-21,SP HUHA WEAR INC.VANCOUVERBC,-58.40
2025-07-23,CAPITAL ONE ONLINE PYMT,200.00
2025-07-27,RESOURCE FASHIONRESOURCEFASHINY,-349.00
2025-08-28,PAST DUE FEE,-39.00
2025-08-31,CAPITAL ONE MOBILE PYMT,200.00
2025-09-23,CAPITAL ONE ONLINE PYMT,200.00
2025-10-28,PAST DUE FEE,-39.00
2025-11-06,CAPITAL ONE MOBILE PYMT,500.00
2025-11-29,CAPITAL ONE MOBILE PYMT,500.00
2025-12-05,CAPITAL ONE ONLINE PYMT,5268.39
2025-12-06,FEDEX33902926800-4633339TN,-40.25
2025-12-10,CAPITAL ONE MOBILE PYMT,40.25
