Date,Description,Amount
2024-02-12,PURCHASE INTEREST CHARGE,211.28
2024-03-04,Payment Thank You - Web,-2000.00
2024-03-12,PURCHASE INTEREST CHARGE,184.60
2024-03-14,IN *STELLAR FASHION CONSU,2575.00
2024-03-14,IN *STELLAR FASHION CONSU,123.60
2024-03-14,IN *STELLAR FASHION CONSU,33.95
2024-03-14,IN *STELLAR FASHION CONSU,1545.00
2024-04-06,Payment Thank You - Web,-1000.00
2024-04-12,PURCHASE INTEREST CHARGE,249.81
2024-05-06,LATE FEE,40.00
2024-05-12,PURCHASE INTEREST CHARGE,234.63
2024-05-16,REDEMPTION CREDIT,-406.03
2024-05-16,Payment Thank You - Web,-1000.00
2024-05-20,IN *STELLAR FASHION CONSU,84.11
2024-06-12,PURCHASE INTEREST CHARGE,224.44
2024-06-23,IN *STELLAR FASHION CONSU,1564.31
2024-07-07,LATE FEE,40.00
2024-07-12,PURCHASE INTEREST CHARGE,238.65
2024-07-16,Payment Thank You - Web,-1500.00
2024-08-12,PURCHASE INTEREST CHARGE,235.92
2024-09-01,Payment Thank You - Web,-2500.00
2024-09-11,Payment Thank You - Web,-2000.00
2024-09-12,PURCHASE INTEREST CHARGE,216.63
2024-10-02,Payment Thank You - Web,-297.00
2024-10-11,PURCHASE INTEREST CHARGE,144.68
2024-10-18,IN *STELLAR FASHION CONSU,353.70
2024-10-31,Trestle Law,250.00
2024-11-05,Payment Thank You - Web,-223.00
2024-11-12,PURCHASE INTEREST CHARGE,155.19
2024-12-06,LATE FEE,40.00
2024-12-12,PURCHASE INTEREST CHARGE,152.04
